id,season,team_name,players,staff
48,5,Blacklist Intl.,"[{""ign"": ""Riddler"", ""role"": ""Middle""}, {""ign"": ""BON CHAN"", ""role"": """"}, {""ign"": ""Kil Ler"", ""role"": ""EXP Lane""}, {""ign"": ""Aqua"", ""role"": ""Middle""}, {""ign"": ""Edward"", ""role"": ""Gold Lane""}, {""ign"": ""Dexter"", ""role"": ""Roamer""}, {""ign"": ""Hon Da"", ""role"": ""Roamer""}]",[]
49,5,ULVL,"[{""ign"": ""Basic"", ""role"": ""Middle""}, {""ign"": ""Escanor"", ""role"": ""EXP Lane""}, {""ign"": ""Chu"", ""role"": ""Middle""}, {""ign"": ""Secret"", ""role"": ""Gold Lane""}, {""ign"": ""Deb"", ""role"": ""Roamer""}, {""ign"": ""Unseen"", ""role"": ""Roamer""}]",[]
50,5,BSB,"[{""ign"": ""Kap Wan"", ""role"": ""Roamer""}, {""ign"": ""Wilson"", ""role"": ""EXP Lane""}, {""ign"": ""Jeraxnu"", ""role"": ""Middle""}, {""ign"": ""Shaiderqt"", ""role"": ""Gold Lane""}, {""ign"": ""Sman"", ""role"": ""Roamer""}, {""ign"": ""Trebor"", ""role"": ""Roamer""}]",[]
51,6,Aurora,"[{""ign"": ""Renzio"", ""role"": ""EXP Lane""}, {""ign"": ""Arcadia"", ""role"": """"}, {""ign"": ""Killuash"", ""role"": ""EXP Lane""}, {""ign"": ""Jaypee"", ""role"": ""Jungler""}, {""ign"": ""Greed"", ""role"": ""Middle""}, {""ign"": ""Kielvj"", ""role"": ""Gold Lane""}, {""ign"": ""Rafflesia"", ""role"": ""Roamer""}]",[]
52,6,Onic Philippines,"[{""ign"": ""Basic"", ""role"": ""Jungler""}, {""ign"": ""Ryo"", ""role"": """"}, {""ign"": ""Wolf"", ""role"": """"}, {""ign"": ""Dlar"", ""role"": ""EXP Lane""}, {""ign"": ""Wise"", ""role"": ""Jungler""}, {""ign"": ""OhMyV33Nus"", ""role"": ""Middle""}, {""ign"": ""Iy4knu"", ""role"": ""Gold Lane""}, {""ign"": ""Jay"", ""role"": ""Roamer""}]",[]
53,6,AP.Bren,"[{""ign"": ""Ejhay"", ""role"": ""Roamer""}, {""ign"": ""Duckeyyy"", ""role"": """"}, {""ign"": ""FlapTzy"", ""role"": ""EXP Lane""}, {""ign"": ""KarlTzy"", ""role"": ""Jungler""}, {""ign"": ""Pheww"", ""role"": ""Middle""}, {""ign"": ""Ribo"", ""role"": ""Gold Lane""}, {""ign"": ""Lusty"", ""role"": ""Roamer""}]",[]
54,6,Execration,"[{""ign"": ""Z4pnu"", ""role"": ""EXP Lane""}, {""ign"": ""Cyre"", ""role"": """"}, {""ign"": ""S4gitnu"", ""role"": ""EXP Lane""}, {""ign"": ""Hate"", ""role"": ""Jungler""}, {""ign"": ""E2MAX"", ""role"": ""Middle""}, {""ign"": ""Bennyqt"", ""role"": ""Gold Lane""}, {""ign"": ""Ch4knu"", ""role"": ""Roamer""}]",[]
55,6,Omega Esports,"[{""ign"": ""Kenji"", ""role"": ""EXP Lane""}, {""ign"": ""Dale"", ""role"": """"}, {""ign"": ""Toshinu"", ""role"": ""EXP Lane""}, {""ign"": ""Hadjizy"", ""role"": ""Jungler""}, {""ign"": ""Haze"", ""role"": ""Middle""}, {""ign"": ""KurtTzy"", ""role"": ""Gold Lane""}, {""ign"": ""Heath"", ""role"": ""Roamer""}]",[]
56,6,Blacklist Intl.,"[{""ign"": ""Dexter"", ""role"": ""Middle""}, {""ign"": ""BON CHAN"", ""role"": """"}, {""ign"": ""Kil Ler"", ""role"": ""EXP Lane""}, {""ign"": ""Kairi"", ""role"": ""Jungler""}, {""ign"": ""Edward"", ""role"": ""Middle""}, {""ign"": ""Aqua"", ""role"": ""Gold Lane""}, {""ign"": ""ESON"", ""role"": ""Roamer""}]",[]
57,6,BnK Blufire,"[{""ign"": ""Crypzu"", ""role"": ""Roamer""}, {""ign"": ""Jeffqt4ever"", ""role"": """"}, {""ign"": ""Secret"", ""role"": ""EXP Lane""}, {""ign"": ""Chu"", ""role"": ""Jungler""}, {""ign"": ""Unseen"", ""role"": ""Middle""}, {""ign"": ""Limz"", ""role"": ""Gold Lane""}, {""ign"": ""Fuzaken"", ""role"": ""Roamer""}]",[]
58,6,BSB,"[{""ign"": ""Shaiderqt"", ""role"": ""EXP Lane""}, {""ign"": ""Wilson"", ""role"": ""EXP Lane""}, {""ign"": ""Drixx"", ""role"": ""Jungler""}, {""ign"": ""Trebor"", ""role"": ""Middle""}, {""ign"": ""Ana"", ""role"": ""Gold Lane""}, {""ign"": ""Kap Wan"", ""role"": ""Roamer""}]",[]
59,6,Cignal Ultra,"[{""ign"": ""Yeb"", ""role"": ""Middle""}, {""ign"": ""Serein"", ""role"": """"}, {""ign"": ""Rhea"", ""role"": ""EXP Lane""}, {""ign"": ""Hadess"", ""role"": ""Jungler""}, {""ign"": ""Imbadeejay"", ""role"": ""Middle""}, {""ign"": ""Tsujin"", ""role"": ""Gold Lane""}, {""ign"": ""Bensanity"", ""role"": ""Roamer""}]",[]
60,6,Nexplay EVOS,"[{""ign"": ""Jimnest"", ""role"": ""Roamer""}, {""ign"": ""YoLo"", ""role"": """"}, {""ign"": ""Mb"", ""role"": ""EXP Lane""}, {""ign"": ""H2wo"", ""role"": ""Jungler""}, {""ign"": ""Chester"", ""role"": ""Middle""}, {""ign"": ""RENEJAY"", ""role"": ""Gold Lane""}, {""ign"": ""Yawi"", ""role"": ""Roamer""}]",[]
61,7,Aurora,"[{""ign"": ""Rafflesia"", ""role"": ""EXP Lane""}, {""ign"": ""Arcadia"", ""role"": """"}, {""ign"": ""Killuash"", ""role"": ""EXP Lane""}, {""ign"": ""Hadess"", ""role"": ""Jungler""}, {""ign"": ""Greed"", ""role"": ""Middle""}, {""ign"": ""Bennyqt"", ""role"": ""Gold Lane""}, {""ign"": ""Jaypee"", ""role"": ""Roamer""}]",[]
62,7,ONIC PH,"[{""ign"": ""Markyyyyy"", ""role"": ""Gold Lane""}, {""ign"": ""Ryo"", ""role"": """"}, {""ign"": ""Wolf"", ""role"": """"}, {""ign"": ""Dlar"", ""role"": ""EXP Lane""}, {""ign"": ""Hate"", ""role"": ""Jungler""}, {""ign"": ""Kairi"", ""role"": ""Middle""}, {""ign"": ""Iy4knu"", ""role"": ""Gold Lane""}, {""ign"": ""Jay"", ""role"": ""Roamer""}]",[]
63,7,AP.Bren,"[{""ign"": ""Ejhay"", ""role"": ""Roamer""}, {""ign"": ""Ducky"", ""role"": """"}, {""ign"": ""FlapTzy"", ""role"": ""EXP Lane""}, {""ign"": ""KarlTzy"", ""role"": ""Jungler""}, {""ign"": ""Pheww"", ""role"": ""Middle""}, {""ign"": ""Ribo"", ""role"": ""Gold Lane""}, {""ign"": ""Lusty"", ""role"": ""Roamer""}]",[]
64,7,Execration,"[{""ign"": ""Z4pnu"", ""role"": ""EXP Lane""}, {""ign"": ""Pakbet"", ""role"": """"}, {""ign"": ""Renzio"", ""role"": ""EXP Lane""}, {""ign"": ""Kielvj"", ""role"": ""Jungler""}, {""ign"": ""E2Max"", ""role"": ""Middle""}, {""ign"": ""Kelra"", ""role"": ""Gold Lane""}, {""ign"": ""Ch4knu"", ""role"": ""Roamer""}]",[]
65,7,Omega Esports,"[{""ign"": ""Haze"", ""role"": ""Roamer""}, {""ign"": ""yNot"", ""role"": """"}, {""ign"": ""Kenji"", ""role"": ""EXP Lane""}, {""ign"": ""Hadjizy"", ""role"": ""Jungler""}, {""ign"": ""KurtTzy"", ""role"": ""Middle""}, {""ign"": ""Toshi"", ""role"": ""Gold Lane""}, {""ign"": ""Heath"", ""role"": ""Roamer""}]",[]
66,7,Blacklist Intl.,"[{""ign"": ""Dex Star"", ""role"": ""Roamer""}, {""ign"": ""Bon Chan"", ""role"": """"}, {""ign"": ""Edward"", ""role"": ""EXP Lane""}, {""ign"": ""Wise"", ""role"": ""Jungler""}, {""ign"": ""OhMyV33NUS"", ""role"": ""Middle""}, {""ign"": ""OHEB"", ""role"": ""Gold Lane""}, {""ign"": ""ESON"", ""role"": ""Roamer""}]",[]
67,7,Cignal Ultra,"[{""ign"": ""ImbaDeejay"", ""role"": ""Middle""}, {""ign"": ""Yeb"", ""role"": """"}, {""ign"": ""Rhea"", ""role"": ""EXP Lane""}, {""ign"": ""Janus"", ""role"": ""Jungler""}, {""ign"": ""Kekedot"", ""role"": ""Middle""}, {""ign"": ""Aqua"", ""role"": ""Gold Lane""}, {""ign"": ""Bensanity"", ""role"": ""Roamer""}]",[]
68,7,Nexplay EVOS,"[{""ign"": ""LanceCy"", ""role"": ""Middle""}, {""ign"": ""Dogie"", ""role"": ""S""}, {""ign"": ""Jeymz"", ""role"": ""EXP Lane""}, {""ign"": ""H2wo"", ""role"": ""Jungler""}, {""ign"": ""Exort"", ""role"": ""Middle""}, {""ign"": ""RENEJAY"", ""role"": ""Gold Lane""}, {""ign"": ""Yawi"", ""role"": ""Roamer""}]",[]
69,7,Work-Auster Force,"[{""ign"": ""Moht"", ""role"": ""Roamer""}, {""ign"": ""Lift"", ""role"": """"}, {""ign"": ""3MarTzy"", ""role"": ""EXP Lane""}, {""ign"": ""Chu"", ""role"": ""Jungler""}, {""ign"": ""RTzy"", ""role"": ""Middle""}, {""ign"": ""Kousei"", ""role"": ""Gold Lane""}, {""ign"": ""Unravel"", ""role"": ""Roamer""}]",[]
70,7,PlayBook Esports,"[{""ign"": ""Yakou"", ""role"": ""Flex""}, {""ign"": ""Panda"", ""role"": """"}, {""ign"": ""Ryota"", ""role"": ""EXP Lane""}, {""ign"": ""Aspect"", ""role"": ""Jungler""}, {""ign"": ""Arvs"", ""role"": ""Middle""}, {""ign"": ""Jake The Dog"", ""role"": ""Gold Lane""}, {""ign"": ""Beemo"", ""role"": ""Roamer""}]",[]
71,8,Blacklist Intl.,"[{""ign"": ""DEX STAR"", ""role"": ""Middle""}, {""ign"": ""ESON"", ""role"": ""Roamer""}, {""ign"": ""BON CHAN"", ""role"": """"}, {""ign"": ""EDWARD"", ""role"": ""EXP Lane""}, {""ign"": ""Wise"", ""role"": ""Jungler""}, {""ign"": ""OhMyV33NUS"", ""role"": ""Middle""}, {""ign"": ""OHEB"", ""role"": ""Gold Lane""}, {""ign"": ""Hadji"", ""role"": ""Roamer""}]",[]
72,8,AP.Bren,"[{""ign"": ""L3bron"", ""role"": ""Jungler""}, {""ign"": ""Malik"", ""role"": ""Jungler""}, {""ign"": ""Rimuru"", ""role"": ""Jungler""}, {""ign"": ""Coco"", ""role"": ""Gold Lane""}, {""ign"": ""Ejhay"", ""role"": ""Roamer""}, {""ign"": ""Duckeyyy"", ""role"": """"}, {""ign"": ""FlapTzy"", ""role"": ""EXP Lane""}, {""ign"": ""KarlTzy"", ""role"": ""Jungler""}, {""ign"": ""Pheww"", ""role"": ""Middle""}, {""ign"": ""Ribo"", ""role"": ""Gold Lane""}, {""ign"": ""Lusty"", ""role"": ""Roamer""}]",[]
73,8,Team Liquid PH,"[{""ign"": ""Invoker"", ""role"": ""EXP Lane""}, {""ign"": ""Aspect"", ""role"": ""Jungler""}, {""ign"": ""Aaronqt"", ""role"": ""Middle""}, {""ign"": ""Jaymeister"", ""role"": ""Roamer""}, {""ign"": ""Flysolo"", ""role"": ""Roamer""}, {""ign"": ""Dale"", ""role"": """"}, {""ign"": ""Arcadia"", ""role"": """"}, {""ign"": ""KurtTzy"", ""role"": ""EXP Lane""}, {""ign"": ""Hadess"", ""role"": ""Jungler""}, {""ign"": ""Rk3"", ""role"": ""Middle""}, {""ign"": ""Bennyqt"", ""role"": ""Gold Lane""}, {""ign"": ""Rafflesia"", ""role"": ""Roamer""}]",[]
74,8,Nexplay EVOS,"[{""ign"": ""Sanford"", ""role"": ""EXP Lane""}, {""ign"": ""Jeymz"", ""role"": ""EXP Lane""}, {""ign"": ""Dogie"", ""role"": ""Roamer""}, {""ign"": ""Zico"", ""role"": """"}, {""ign"": ""Midnight"", ""role"": """"}, {""ign"": ""Renejay"", ""role"": ""EXP Lane""}, {""ign"": ""H2WO"", ""role"": ""Jungler""}, {""ign"": ""YellyHaze"", ""role"": ""Middle""}, {""ign"": ""Hesa"", ""role"": ""Gold Lane""}, {""ign"": ""Yawi"", ""role"": ""Roamer""}]",[]
75,8,Omega Esports,"[{""ign"": ""Allidap"", ""role"": ""EXP Lane""}, {""ign"": ""Kielvj"", ""role"": ""Jungler""}, {""ign"": ""Dian"", ""role"": ""Middle""}, {""ign"": ""Hito"", ""role"": ""Gold Lane""}, {""ign"": ""Z4pnu"", ""role"": ""Roamer""}, {""ign"": ""Pakbet"", ""role"": """"}, {""ign"": ""Renzio"", ""role"": ""EXP Lane""}, {""ign"": ""Raizen"", ""role"": ""Jungler""}, {""ign"": ""E2MAX"", ""role"": ""Middle""}, {""ign"": ""Kelra"", ""role"": ""Gold Lane""}, {""ign"": ""Ch4knu"", ""role"": ""Roamer""}]",[]
76,8,Onic Philippines,"[{""ign"": ""Ryota"", ""role"": ""EXP Lane""}, {""ign"": ""Hate"", ""role"": ""Gold Lane""}, {""ign"": ""Micophobia"", ""role"": ""Roamer""}, {""ign"": ""Yeb"", ""role"": """"}, {""ign"": ""Wolf"", ""role"": """"}, {""ign"": ""Dlarskie"", ""role"": ""EXP Lane""}, {""ign"": ""Kairi"", ""role"": ""Jungler""}, {""ign"": ""Baloyskie"", ""role"": ""Middle""}, {""ign"": ""Markyyyyy"", ""role"": ""Gold Lane""}, {""ign"": ""Beemo"", ""role"": ""Roamer""}]",[]
77,8,RSG PH,"[{""ign"": ""Kenji"", ""role"": ""EXP Lane""}, {""ign"": ""EMANN"", ""role"": ""Jungler""}, {""ign"": ""Wrecker"", ""role"": ""Middle""}, {""ign"": ""Exort"", ""role"": ""Gold Lane""}, {""ign"": ""Panda"", ""role"": """"}, {""ign"": ""Nathzz"", ""role"": ""EXP Lane""}, {""ign"": ""Demonkite"", ""role"": ""Jungler""}, {""ign"": ""Aqua"", ""role"": ""Middle""}, {""ign"": ""Iy4knu"", ""role"": ""Gold Lane""}, {""ign"": ""Heath"", ""role"": ""Roamer""}]",[]
78,8,TNC Pro Team,"[{""ign"": ""Der"", ""role"": ""EXP Lane""}, {""ign"": ""Imbadeejay"", ""role"": ""Middle""}, {""ign"": ""Kousei"", ""role"": ""Gold Lane""}, {""ign"": ""Benthings"", ""role"": ""Roamer""}, {""ign"": ""Lift"", ""role"": """"}, {""ign"": ""3MarTzy"", ""role"": ""EXP Lane""}, {""ign"": ""Chuuu"", ""role"": ""Jungler""}, {""ign"": ""P-God"", ""role"": ""Middle""}, {""ign"": ""Toshi"", ""role"": ""Gold Lane""}, {""ign"": ""Light"", ""role"": ""Roamer""}]",[]
79,9,Blacklist Intl.,"[{""ign"": ""ESON"", ""role"": ""Roamer""}, {""ign"": ""BON CHAN"", ""role"": """"}, {""ign"": ""DEX STAR"", ""role"": """"}, {""ign"": ""Edward"", ""role"": ""EXP Lane""}, {""ign"": ""KEVIER"", ""role"": ""Jungler""}, {""ign"": ""Hadji"", ""role"": ""Middle""}, {""ign"": ""Oheb"", ""role"": ""Gold Lane""}]","[{""ign"": ""Master the Basics"", ""role"": ""Assistant Coach""}]"
80,9,AP.Bren,"[{""ign"": ""Pandora"", ""role"": ""EXP Lane""}, {""ign"": ""Lord Malikk"", ""role"": ""Jungler""}, {""ign"": ""Stowm"", ""role"": ""Middle""}, {""ign"": ""Jowm"", ""role"": ""Gold Lane""}, {""ign"": ""Lusty"", ""role"": ""Roamer""}, {""ign"": ""Duckeyyy"", ""role"": """"}, {""ign"": ""FlapTzy"", ""role"": ""EXP Lane""}, {""ign"": ""Saxa"", ""role"": ""Jungler""}, {""ign"": ""Pheww"", ""role"": ""Middle""}, {""ign"": ""SUPER MARCO"", ""role"": ""Gold Lane""}, {""ign"": ""Joy Boy"", ""role"": ""Roamer""}]","[{""ign"": ""Pauloxpert"", ""role"": ""Assistant Coach""}]"
81,9,Team Liquid PH,"[{""ign"": ""Rafflesia"", ""role"": ""Roamer""}, {""ign"": ""Hadess"", ""role"": ""Jungler""}, {""ign"": ""Aaronqt"", ""role"": ""Middle""}, {""ign"": ""Rk3"", ""role"": ""Middle""}, {""ign"": ""Killuash"", ""role"": ""EXP Lane""}, {""ign"": ""Arcadia"", ""role"": """"}, {""ign"": ""3MarTzy"", ""role"": ""EXP Lane""}, {""ign"": ""KarlTzy"", ""role"": ""Jungler""}, {""ign"": ""KurtTzy"", ""role"": ""Middle""}, {""ign"": ""Bennyqt"", ""role"": ""Gold Lane""}, {""ign"": ""Yawi"", ""role"": ""Roamer""}]",[]
82,9,Nexplay EVOS,"[{""ign"": ""URESHIII"", ""role"": ""EXP Lane""}, {""ign"": ""MP the King"", ""role"": ""Jungler""}, {""ign"": ""Elpizo"", ""role"": ""Middle""}, {""ign"": ""Hesa"", ""role"": ""Gold Lane""}, {""ign"": ""CADENZA"", ""role"": ""Roamer""}, {""ign"": ""Zico"", ""role"": """"}, {""ign"": ""Dogie"", ""role"": """"}, {""ign"": ""S4gitnu"", ""role"": ""EXP Lane""}, {""ign"": ""H2wo"", ""role"": ""Jungler""}, {""ign"": ""YellyHaze"", ""role"": ""Middle""}, {""ign"": ""Donut"", ""role"": ""Gold Lane""}, {""ign"": ""Renejay"", ""role"": ""Roamer""}]",[]
83,9,Omega Esports,"[{""ign"": ""Z4pnu"", ""role"": ""EXP Lane""}, {""ign"": ""Kielvj"", ""role"": ""Jungler""}, {""ign"": ""Amethyst"", ""role"": ""Middle""}, {""ign"": ""Outplayed"", ""role"": ""Gold Lane""}, {""ign"": ""Allidap"", ""role"": ""EXP Lane""}, {""ign"": ""P4kbet"", ""role"": """"}, {""ign"": ""YnoT"", ""role"": """"}, {""ign"": ""Renzio"", ""role"": ""EXP Lane""}, {""ign"": ""Raizen"", ""role"": ""Jungler""}, {""ign"": ""E2MAX"", ""role"": ""Middle""}, {""ign"": ""Kelra"", ""role"": ""Gold Lane""}, {""ign"": ""Ch4knu"", ""role"": ""Roamer""}]",[]
84,9,Onic Philippines,"[{""ign"": ""Ryota"", ""role"": ""EXP Lane""}, {""ign"": ""Beemo"", ""role"": ""Roamer""}, {""ign"": ""Mico"", ""role"": ""Roamer""}, {""ign"": ""Yeb"", ""role"": """"}, {""ign"": ""Dlar"", ""role"": ""EXP Lane""}, {""ign"": ""Kairi"", ""role"": ""Jungler""}, {""ign"": ""Hatred"", ""role"": ""Middle""}, {""ign"": ""Markyyyyy"", ""role"": ""Gold Lane""}, {""ign"": ""Baloyskie"", ""role"": ""Roamer""}]","[{""ign"": ""Bluffzy"", ""role"": ""Assistant Coach""}]"
85,9,RSG PH,"[{""ign"": ""Kenji"", ""role"": ""EXP Lane""}, {""ign"": ""Kousei"", ""role"": ""Gold Lane""}, {""ign"": ""Exort"", ""role"": ""Middle""}, {""ign"": ""Wrecker"", ""role"": ""Middle""}, {""ign"": ""Heath"", ""role"": ""Roamer""}, {""ign"": ""Panda"", ""role"": """"}, {""ign"": ""Nathzz"", ""role"": ""EXP Lane""}, {""ign"": ""Demonkite"", ""role"": ""Jungler""}, {""ign"": ""Aqua"", ""role"": ""Middle""}, {""ign"": ""EMANN"", ""role"": ""Gold Lane""}, {""ign"": ""Light"", ""role"": ""Roamer""}]","[{""ign"": ""Giee"", ""role"": ""Assistant Coach""}]"
86,9,TNC Pro Team,"[{""ign"": ""KingSalman"", ""role"": ""Jungler""}, {""ign"": ""Vrendon Lin"", ""role"": """"}, {""ign"": ""Kramm"", ""role"": ""EXP Lane""}, {""ign"": ""SDzyz"", ""role"": ""Jungler""}, {""ign"": ""Escalera"", ""role"": ""Middle""}, {""ign"": ""Yasuwo"", ""role"": ""Gold Lane""}, {""ign"": ""Benthings"", ""role"": ""Roamer""}]","[{""ign"": ""Scholar"", ""role"": ""Assistant Coach""}]"
87,10,Blacklist Intl.,"[{""ign"": ""KEVIER"", ""role"": ""Jungler""}, {""ign"": ""Eson"", ""role"": ""Middle""}, {""ign"": ""Dex Star"", ""role"": ""Middle""}, {""ign"": ""BON CHAN"", ""role"": """"}, {""ign"": ""Edward"", ""role"": ""EXP Lane""}, {""ign"": ""Wise"", ""role"": ""Jungler""}, {""ign"": ""Hadji"", ""role"": ""Middle""}, {""ign"": ""Oheb"", ""role"": ""Gold Lane""}, {""ign"": ""OhMyV33NUS"", ""role"": ""Roamer""}]","[{""ign"": ""Master the Basics"", ""role"": ""Assistant Coach""}]"
88,10,AP.Bren,"[{""ign"": ""FlapTzy"", ""role"": ""EXP Lane""}, {""ign"": ""Saxa"", ""role"": ""Jungler""}, {""ign"": ""Stowm"", ""role"": ""Middle""}, {""ign"": ""Jowm"", ""role"": ""Gold Lane""}, {""ign"": ""Joy Boy"", ""role"": ""Roamer""}, {""ign"": ""Ducky"", ""role"": """"}, {""ign"": ""Pandora"", ""role"": ""EXP Lane""}, {""ign"": ""KyleTzy"", ""role"": ""Jungler""}, {""ign"": ""Pheww"", ""role"": ""Middle""}, {""ign"": ""Super Marco"", ""role"": ""Gold Lane""}, {""ign"": ""Owgwen"", ""role"": ""Roamer""}]","[{""ign"": ""Pauloxpert"", ""role"": ""Assistant Coach""}]"
89,10,Team Liquid PH,"[{""ign"": ""3MarTzy"", ""role"": ""EXP Lane""}, {""ign"": ""Zaida"", ""role"": ""Jungler""}, {""ign"": ""KurtTzy"", ""role"": ""Middle""}, {""ign"": ""Outplayed"", ""role"": ""Gold Lane""}, {""ign"": ""Jaypee"", ""role"": ""Roamer""}, {""ign"": ""Sanford"", ""role"": ""EXP Lane""}, {""ign"": ""KarlTzy"", ""role"": ""Jungler""}, {""ign"": ""Sanji"", ""role"": ""Middle""}, {""ign"": ""Bennyqt"", ""role"": ""Gold Lane""}, {""ign"": ""Yawi"", ""role"": ""Roamer""}]","[{""ign"": ""Trebor"", ""role"": ""Assistant Coach""}, {""ign"": ""Tictac"", ""role"": ""Head Coach""}]"
90,10,Nexplay EVOS,"[{""ign"": ""Renejay"", ""role"": ""Flex""}, {""ign"": ""Kzen"", ""role"": ""Jungler""}, {""ign"": ""LanceCy"", ""role"": ""Middle""}, {""ign"": ""Batute"", ""role"": ""Roamer""}, {""ign"": ""Elpizo"", ""role"": ""Roamer""}, {""ign"": ""Jeymz"", ""role"": ""EXP Lane""}, {""ign"": ""H2WO"", ""role"": ""Jungler""}, {""ign"": ""YellyHaze"", ""role"": ""Middle""}, {""ign"": ""Donut"", ""role"": ""Gold Lane""}, {""ign"": ""Micophobia"", ""role"": ""Roamer""}]","[{""ign"": ""Pao"", ""role"": ""Head Coach""}]"
91,10,Omega Esports,"[{""ign"": ""Kielvj"", ""role"": ""Middle""}, {""ign"": ""Mikko"", ""role"": ""Roamer""}, {""ign"": ""Z4pnu"", ""role"": ""EXP Lane""}, {""ign"": ""P4kbet"", ""role"": """"}, {""ign"": ""Amethyst"", ""role"": """"}, {""ign"": ""Hjidoue"", ""role"": """"}, {""ign"": ""Renzio"", ""role"": ""EXP Lane""}, {""ign"": ""Raizen"", ""role"": ""Jungler""}, {""ign"": ""E2MAX"", ""role"": ""Middle""}, {""ign"": ""Kelra"", ""role"": ""Gold Lane""}, {""ign"": ""Ch4knu"", ""role"": ""Roamer""}]","[{""ign"": ""YnoT"", ""role"": ""Head Coach""}]"
92,10,ONIC PH,"[{""ign"": ""Der"", ""role"": ""EXP Lane""}, {""ign"": ""Kekedoot"", ""role"": ""Roamer""}, {""ign"": ""Choox"", ""role"": ""Jungler""}, {""ign"": ""Bluffzy"", ""role"": """"}, {""ign"": ""Jeff"", ""role"": """"}, {""ign"": ""Ryota"", ""role"": ""EXP Lane""}, {""ign"": ""Sensui"", ""role"": ""Jungler""}, {""ign"": ""Super Frince"", ""role"": ""Middle""}, {""ign"": ""Nets"", ""role"": ""Gold Lane""}, {""ign"": ""Rapidoot"", ""role"": ""Roamer""}]",[]
93,10,RSG PH,"[{""ign"": ""Kenji"", ""role"": ""EXP Lane""}, {""ign"": ""1rrad"", ""role"": ""Jungler""}, {""ign"": ""Exort"", ""role"": ""Middle""}, {""ign"": ""Kousei"", ""role"": ""Gold Lane""}, {""ign"": ""Perkz"", ""role"": ""Roamer""}, {""ign"": ""Wrecker"", ""role"": ""Middle""}, {""ign"": ""Panda"", ""role"": """"}, {""ign"": ""Nathzz"", ""role"": ""EXP Lane""}, {""ign"": ""Demonkite"", ""role"": ""Jungler""}, {""ign"": ""Aqua"", ""role"": ""Middle""}, {""ign"": ""EMANN"", ""role"": ""Gold Lane""}, {""ign"": ""Light"", ""role"": ""Roamer""}]","[{""ign"": ""Giee"", ""role"": ""Assistant Coach""}]"
94,10,TNC Pro Team,"[{""ign"": ""KingSalman"", ""role"": ""Flex""}, {""ign"": ""Kramm"", ""role"": ""EXP Lane""}, {""ign"": ""SDzyz"", ""role"": ""Jungler""}, {""ign"": ""Escalera"", ""role"": ""Middle""}, {""ign"": ""Yasuwo"", ""role"": ""Gold Lane""}, {""ign"": ""Benthings"", ""role"": ""Roamer""}]","[{""ign"": ""413"", ""role"": ""Head Coach""}, {""ign"": ""Scholar"", ""role"": ""Assistant Coach""}]"
95,11,Blacklist Intl.,"[{""ign"": ""Renejay"", ""role"": ""EXP Lane""}, {""ign"": ""Archer"", ""role"": ""Gold Lane""}, {""ign"": ""Super Red"", ""role"": ""Gold Lane""}, {""ign"": ""Edward"", ""role"": ""EXP Lane""}, {""ign"": ""Wise"", ""role"": ""Jungler""}, {""ign"": ""Yue"", ""role"": ""Middle""}, {""ign"": ""Owl"", ""role"": ""Gold Lane""}, {""ign"": ""OhMyV33NUS"", ""role"": ""Roamer""}]","[{""ign"": ""Master the Basics"", ""role"": ""Head Coach""}, {""ign"": ""Dex Star"", ""role"": ""Assistant Coach""}]"
96,11,AP.Bren,"[{""ign"": ""Pandora"", ""role"": ""EXP Lane""}, {""ign"": ""Ducky"", ""role"": """"}, {""ign"": ""Vrendon Lin"", ""role"": """"}, {""ign"": ""FlapTzy"", ""role"": ""EXP Lane""}, {""ign"": ""KyleTzy"", ""role"": ""Jungler""}, {""ign"": ""Pheww"", ""role"": ""Middle""}, {""ign"": ""SUPER MARCO"", ""role"": ""Gold Lane""}, {""ign"": ""Owgwen"", ""role"": ""Roamer""}]",[]
97,11,Team Liquid PH,"[{""ign"": ""Jian"", ""role"": ""Gold Lane""}, {""ign"": ""Sanford"", ""role"": ""EXP Lane""}, {""ign"": ""KarlTzy"", ""role"": ""Jungler""}, {""ign"": ""Sanji"", ""role"": ""Middle""}, {""ign"": ""Bennyqt"", ""role"": ""Gold Lane""}, {""ign"": ""Yawi"", ""role"": ""Roamer""}]","[{""ign"": ""Tictac"", ""role"": ""Head Coach""}, {""ign"": ""Trebor"", ""role"": ""Assistant Coach""}]"
98,11,Nexplay EVOS,"[{""ign"": ""YellyHazeDR"", ""role"": ""Middle""}, {""ign"": ""DingDR"", ""role"": ""EXP Lane""}, {""ign"": ""BoyetDR"", ""role"": ""Jungler""}, {""ign"": ""GoyongDR"", ""role"": ""Middle""}, {""ign"": ""DomengDR"", ""role"": ""Gold Lane""}, {""ign"": ""BruskoDR"", ""role"": ""Roamer""}]","[{""ign"": ""JOSH"", ""role"": ""Head Coach""}, {""ign"": ""Isonn"", ""role"": ""Assistant Coach""}]"
