patch_version,release_timestamp,hero_adjustments,item_adjustments
1.9.42,2024-12-18 00:00:00.000000,"{""Lukas"": ""NEW"", ""Sun"": ""BUFF"", ""Argus"": ""BUFF"", ""Aulus"": ""BUFF"", ""Zilong"": ""BUFF"", ""Badang"": ""BUFF"", ""Harith"": ""BUFF"", ""Dyrroth"": ""BUFF"", ""Cici"": ""BUFF"", ""Alucard"": ""ADJUST"", ""Lancelot"": ""BUFF"", ""Karrie"": ""BUFF"", ""Irithel"": ""BUFF"", ""Bruno"": ""NERF"", ""Fanny"": ""NERF"", ""Cecilion"": ""NERF""}",
1.9.42B,2025-01-01 00:00:00.000000,"{""Karrie"": ""BUFF"", ""Harith"": ""NERF"", ""Hilda"": ""NERF"", ""Cici"": ""BUFF""}",
1.9.42C,2025-02-01 00:00:00.000000,{},
1.9.42D,2025-02-07 00:00:00.000000,{},
1.9.42E,2025-02-13 00:00:00.000000,"{""Selena"": ""BUFF"", ""Cici"": ""BUFF"", ""Karrie"": ""BUFF"", ""Novaria"": ""BUFF"", ""Esmeralda"": ""BUFF"", ""Uranus"": ""BUFF"", ""Baxia"": ""BUFF"", ""Barats"": ""BUFF"", ""Layla"": ""NERF"", ""Granger"": ""NERF"", ""Sun"": ""NERF"", ""Hanabi"": ""ADJUST""}",
1.9.64,2025-03-18 00:00:00.000000,"{""Hanzo"": ""NERF"", ""Melissa"": ""NERF"", ""Pharsa"": ""BUFF"", ""Brody"": ""BUFF"", ""Lukas"": ""ADJUST"", ""Zhuxin"": ""ADJUST"", ""Johnson"": ""BUFF"", ""Akai"": ""BUFF"", ""Beatrix"": ""ADJUST"", ""Natalia"": ""BUFF"", ""Hayabusa"": ""NERF"", ""Badang"": ""NERF"", ""Minotaur"": ""BUFF"", ""Chip"": ""BUFF"", ""Eudora"": ""BUFF"", ""Julian"": ""ADJUST"", ""Miya"": ""NERF"", ""Argus"": ""BUFF""}",
1.9.64B,2025-04-22 00:00:00.000000,"{""Kimmy"": ""ADJUST"", ""Gloo"": ""ADJUST"", ""Yi Sun-shin"": ""BUFF"", ""Valir"": ""BUFF"", ""Leomord"": ""BUFF"", ""Gord"": ""BUFF"", ""Natan"": ""BUFF"", ""Clint"": ""BUFF"", ""Fanny"": ""NERF"", ""Harith"": ""NERF"", ""Suyou"": ""NERF"", ""Granger"": ""NERF"", ""Cecilion"": ""NERF"", ""Fredrinn"": ""BUFF"", ""Jawhead"": ""BUFF"", ""Novaria"": ""BUFF"", ""Kaja"": ""BUFF"", ""X.Borg"": ""BUFF"", ""Balmond"": ""BUFF""}",
1.9.64C,2025-05-14 00:00:00.000000,"{""Gord"": ""BUFF"", ""Kimmy"": ""ADJUST"", ""Yi Sun-shin"": ""BUFF"", ""Joy"": ""NERF"", ""Diggie"": ""BUFF"", ""Chang'e"": ""ADJUST""}",
1.9.90,2025-06-18 00:00:00.000000,{},
1.9.99,2025-08-05 00:00:00.000000,"{""Grock"": ""ADJUST"", ""Carmilla"": ""BUFF"", ""Yve"": ""BUFF""}",
1.9.99a,2025-08-26 00:00:00.000000,"{""Grock"": ""BUFF"", ""Guinevere"": ""BUFF"", ""Vexana"": ""BUFF"", ""Yve"": ""BUFF"", ""Lylia"": ""BUFF"", ""Lancelot"": ""NERF"", ""Yi Sun-shin"": ""NERF""}",
2.1.18,2025-09-17 00:00:00.000000,{},
2.1.18a,2025-09-29 00:00:00.000000,"{""Alice"": ""BUFF""}",
2.1.18b,2025-10-24 00:00:00.000000,"{""Thamuz"": ""BUFF"", ""Layla"": ""BUFF"", ""Bane"": ""NERF""}",
2.1.30,2025-11-04 00:00:00.000000,"{""Freya"": ""ADJUST"", ""Hilda"": ""BUFF"", ""Xavier"": ""BUFF"", ""Minotaur"": ""BUFF"", ""Atlas"": ""BUFF"", ""Benedetta"": ""BUFF"", ""Martis"": ""BUFF"", ""Balmond"": ""BUFF"", ""Harley"": ""BUFF"", ""Faramis"": ""BUFF"", ""Chang'e"": ""ADJUST"", ""Obsidia"": ""ADJUST"", ""Alucard"": ""NERF"", ""Yi Sun-shin"": ""NERF"", ""Arlott"": ""NERF"", ""Cici"": ""NERF"", ""Thamuz"": ""BUFF"", ""Natan"": ""NERF"", ""Irithel"": ""NERF"", ""Layla"": ""BUFF"", ""Bane"": ""NERF""}",
2.1.30a,2025-11-27 00:00:00.000000,"{""Cecilion"": ""BUFF"", ""Cici"": ""NERF"", ""Clint"": ""BUFF"", ""Freya"": ""BUFF"", ""Hilda"": ""BUFF"", ""Julian"": ""BUFF"", ""Kimmy"": ""NERF"", ""Lancelot"": ""NERF"", ""Nolan"": ""BUFF"", ""Suyou"": ""BUFF""}",
2.1.40,2025-12-18 00:00:00.000000,"{""Angela"": ""ADJUST"", ""Atlas"": ""BUFF"", ""Aurora"": ""BUFF"", ""Barats"": ""BUFF"", ""Estes"": ""BUFF"", ""Freya"": ""BUFF"", ""Gatotkaca"": ""NERF"", ""Granger"": ""NERF"", ""Grock"": ""NERF"", ""Harith"": ""NERF"", ""Hayabusa"": ""NERF"", ""Khufra"": ""BUFF"", ""Leomord"": ""BUFF"", ""Lolita"": ""BUFF""}",
2.1.40a,2025-12-31 00:00:00.000000,"{""Akai"": ""BUFF"", ""Barats"": ""BUFF"", ""Baxia"": ""NERF"", ""Kalea"": ""NERF"", ""Lancelot"": ""NERF"", ""Lapu-Lapu"": ""NERF"", ""Ling"": ""BUFF"", ""Minsitthar"": ""BUFF"", ""Yve"": ""NERF""}",
2.1.47,2026-01-28 00:00:00.000000,"{""Eudora"": ""ADJUST"", ""Aamon"": ""NERF"", ""Floryn"": ""BUFF"", ""Hanzo"": ""BUFF"", ""Leomord"": ""NERF"", ""Lukas"": ""BUFF"", ""Miya"": ""BUFF"", ""Sora"": ""NERF"", ""Suyou"": ""BUFF"", ""Yu Zhong"": ""NERF""}",
2.1.61,2026-03-11 00:00:00.000000,"{""Aurora"": ""BUFF"", ""Cecilion"": ""ADJUST"", ""Chang'e"": ""ADJUST"", ""Claude"": ""ADJUST""}",
2.1.67,2026-04-22 00:00:00.000000,"{""Aulus"": ""ADJUST"", ""Bane"": ""ADJUST"", ""Beatrix"": ""ADJUST"", ""Brody"": ""ADJUST"", ""Bruno"": ""BUFF"", ""Cici"": ""ADJUST"", ""Claude"": ""NERF"", ""Clint"": ""ADJUST"", ""Dyrroth"": ""BUFF"", ""Hanabi"": ""NERF"", ""Harith"": ""NERF"", ""Irithel"": ""ADJUST"", ""Ixia"": ""ADJUST"", ""Karrie"": ""NERF"", ""Layla"": ""ADJUST"", ""Lesley"": ""ADJUST"", ""Marcel"": ""ADJUST"", ""Melissa"": ""BUFF"", ""Miya"": ""ADJUST"", ""Moskov"": ""ADJUST"", ""Natan"": ""NERF"", ""Obsidia"": ""ADJUST"", ""Popol and Kupa"": ""NERF"", ""Sora"": ""NERF"", ""Terizla"": ""NERF"", ""Wanwan"": ""BUFF""}",
2.1.67a,2026-05-13 00:00:00.000000,"{""Aulus"": ""BUFF"", ""Belerick"": ""BUFF"", ""Chou"": ""BUFF"", ""Harley"": ""NERF"", ""Paquito"": ""BUFF""}",
